0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
40.5,d_20150701,14.9,7.3,1.4,0.3,0,0,44.4,33.6,18.8,12.2,5.6
37.6,d_20150801,16.6,9.3,2.6,1,0.1,0,45.8,34.6,18.5,11.1,4.8
37.4,d_20150901,21.2,14.3,7,4.4,1.6,0,41.4,29.7,13.9,7.7,2.7
35,d_20151001,15.7,10.2,3.9,1.7,0.5,0,49.3,35.6,17.7,10.9,4.8
27.3,d_20151101,12.3,8.4,3.9,2.2,0.7,0,60.2,47.1,26.1,16.4,7.4
22.3,d_20151201,4.8,2.2,0.6,0.3,0.1,0,72.9,60.7,37,25.3,13.8
23.5,d_20160101,3.2,1.5,0.5,0.2,0,0,73.3,58.8,35.1,22.8,11.4
36.5,d_20160201,6.5,2.6,0.6,0.3,0.1,0,57,42.8,22.7,13.4,5.5
36,d_20160301,7.2,3.2,0.4,0.1,0,0,56.7,41.3,19.9,11.2,3.8
36.6,d_20160401,7.2,2.8,0.3,0,0,0,56.2,41.8,21.6,12.9,5.7
35.8,d_20160501,4.6,1.8,0.2,0.1,0,0,59.6,43.5,21.2,13.4,6.6
36.6,d_20160601,7.4,3.3,0.7,0.1,0,0,56.1,41.9,20.8,12.9,5.8
35.8,d_20160701,13.6,7.4,1.6,0.5,0.1,0,50.6,38.5,20.5,11.8,4
37.4,d_20160801,13.5,6.4,1,0.2,0,0,48.9,36.7,18.6,10.3,3.4
39.6,d_20160901,20.3,12.2,3.8,1.8,0.4,0,40,28,12.4,6.7,2.3
35.8,d_20161001,19.8,12,4.4,2.2,0.7,0,44.3,32.4,15.6,8.6,3.4
36.1,d_20161101,20.9,13.2,5.6,3.6,2.2,0,42.9,31.7,15.2,7.8,3
38.8,d_20161201,15.9,9.6,3.5,2,1.1,0,45.5,30.5,12.4,6.9,2.8
36.5,d_20170101,13.9,8.5,3.1,1.5,0.4,0,49.6,35.8,16.5,8.8,3.2
36.2,d_20170201,15.3,9.5,4,2.3,1,0,48.5,35.5,18.1,11.3,4.6
30.8,d_20170301,14.4,8.9,3.7,2,0.7,0,54.8,42.2,25.1,16.3,8.4
27.3,d_20170401,10.6,6.2,1.9,0.6,0.1,0,62.2,49.7,28.9,19,10.1
32.6,d_20170501,10.3,5.1,0.8,0.2,0,0,57.1,43.2,24,15.9,8.2
41.8,d_20170601,10.4,4.9,1.4,0.6,0.2,0,47.8,34.7,19.4,13,6.5
38.6,d_20170701,9.9,6.2,3.3,2.4,1.6,0,51.5,36.2,15.8,8.5,3.7
31.1,d_20170801,8.1,5.3,3.1,2.3,1.5,0,60.8,45.8,23.6,14.3,6.7
34.5,d_20170901,9.6,5.7,2.6,1.7,1.1,0,55.8,40.6,19.4,10.8,4.6
36.4,d_20171001,15,9.3,4.2,2.4,1.2,0,48.5,36.8,18.1,10.2,4.2
36.4,d_20171101,21.1,15,7.4,4.5,2.3,0,42.5,30.8,14.1,7.4,2.4
40.2,d_20171201,26.1,18.8,9.5,6,2.8,0,33.7,22.8,9.8,5.3,2
39.5,d_20180101,36.6,25.9,11.6,6,2.2,0,23.8,16,7,3.8,1.6
35,d_20180201,35.8,25.6,12.8,7.3,2.8,0,29.1,20,8.2,4,1.4
40.4,d_20180301,31.3,21.2,8.1,3.7,0.9,0,28.3,18.8,7.1,3.5,1.3
37.4,d_20180401,33.8,22.5,10.5,6.5,3.1,0,28.9,19.5,8.1,4.1,1.5
37,d_20180501,38,27.1,12.5,7,3.3,0,25.2,17.4,8.3,4.5,1.9
31.7,d_20180601,38.3,28.6,16.9,11.5,6.1,0,30,22,11.2,6.6,3
36.7,d_20180701,38.4,27.2,12.3,7.2,3,0,25.1,16.9,7.9,4.4,2
34.8,d_20180801,33.3,22.4,9.5,5.3,1.8,0,31.9,23,11.1,6.5,3.2
38.3,d_20180901,24.3,15.5,6.5,3.9,1.5,0,37.4,28.7,18.2,13.2,8
34.4,d_20181001,14.6,8.3,2.7,1.2,0.3,0,51,39.7,24.4,17.4,10.4
35.4,d_20181101,13.5,7.8,2.5,1.1,0.4,0,50.9,37.7,20.5,14.1,8.9
31.4,d_20181201,15.4,9,2.5,0.9,0.2,0,53.1,43.2,27.5,19.9,12.3
29,d_20190101,13.1,8.4,3.1,1.2,0.2,0,57.8,47.6,31.3,22.8,14
26.5,d_20190201,7.4,3.9,0.8,0.2,0,0,66,55.4,37.3,28,17.7
21.6,d_20190301,8.4,5.3,1.8,0.6,0.1,0,69.9,58.5,36.6,26.3,15.2
21.4,d_20190401,6,3.2,0.6,0.1,0,0,72.6,60.5,39.5,30.4,19.6
13.9,d_20190501,3.9,2.3,0.4,0.1,0,0,82.3,71.6,51.4,40.2,26.2
15.6,d_20190601,3.3,1.7,0.4,0.1,0,0,81.1,69.9,48.4,36,19.7
22.9,d_20190701,6.3,3.1,0.7,0.2,0,0,70.6,59.8,37.4,25.3,12.5
23.6,d_20190801,8.5,4.6,1.2,0.4,0.1,0,68,56.5,35.2,23.7,12.6
22.9,d_20190901,11.3,7.4,3.3,1.6,0.5,0,65.7,55.2,34.2,22.4,10.1
23.1,d_20191001,10.7,6.2,1.9,0.7,0.1,0,66.4,56.9,38.1,26.2,13.7
32.8,d_20191101,12.3,6.3,1.9,0.7,0.2,0,54.9,43.5,25.8,17.4,8.7
31.4,d_20191201,10.9,5,0.9,0.2,0,0,57.6,46.2,27.6,18.4,9.6
34.7,d_20200101,12.8,6.2,1.2,0.5,0.1,0,52.6,42.6,28.2,19.7,10.5
30.3,d_20200201,22.8,15.8,7.5,4,1.1,0,47,37.7,24.2,16.7,8.6
30.6,d_20200301,21.5,15.3,6.8,3.1,0.5,0,47.8,38.7,25,18.1,11
27,d_20200401,22.3,15.6,6.3,2.7,0.6,0,50.7,40.3,24,15.9,7.7
31.1,d_20200501,21.6,14.7,6.2,2.9,0.5,0,47.4,37.4,20.5,13.3,6.3
37.4,d_20200601,24,16.7,7.3,3.3,0.6,0,38.5,30.2,18.3,12.7,6.9
34.9,d_20200701,28.2,18.1,6.6,2.6,0.5,0,36.9,27.3,13.3,7.3,3
31.4,d_20200801,35.4,26.2,13.2,7.1,2.5,0,33.3,25.4,14.6,9.6,4.9
26.9,d_20200901,42.3,34.1,21.8,14.2,6.8,0,30.8,24.6,15.3,10.7,5.5
27.3,d_20201001,44.1,35.9,24.4,17.5,9.9,0,28.6,22.6,15.2,10.5,5.2
29.5,d_20201101,43.7,35,23.4,16.8,9.5,0,26.8,19.3,9.6,5.6,2.6
31,d_20201201,47.1,39.2,28.4,22.5,15.6,0,21.9,14.9,7.3,4.7,2.8
34.4,d_20210101,46.4,37.8,25.4,19.7,14,0,19.2,11.2,5.1,3.5,2.2
33.7,d_20210201,48.7,39,26.5,20.1,13.1,0,17.7,11,5,3.4,2.2
31,d_20210301,53.2,44.1,29.3,22.4,14.5,0,15.9,9.3,3.6,2.4,1.4
27.2,d_20210401,56,46.6,31.9,24.3,14.8,0,16.8,10.6,4.9,3.1,1.7
32.7,d_20210501,48.7,39.3,24.6,17.4,9.6,0,18.6,10.9,3.9,1.8,0.5
34.7,d_20210601,46.9,38.5,25.2,17,7.8,0,18.5,9.9,3.2,1.7,0.6
34.5,d_20210701,41,32.7,20.2,13.6,6.8,0,24.5,15.1,5.2,2.3,0.8
30.4,d_20210801,38.6,29.9,16.1,9.7,3.9,0,31,21.8,9.1,4.4,1.6
33.5,d_20210901,37.2,28.4,15.2,9.1,3.2,0,29.4,19.3,8.5,4.4,1.6
38.5,d_20211001,27.8,18.8,8.4,4.1,1.4,0,33.7,23.8,12.4,7.8,3.6
39.4,d_20211101,32.3,22.2,9.8,5.3,1.9,0,28.4,19.3,8.9,5.3,2.3
43.3,d_20211201,27.1,17,5.9,2.6,0.6,0,29.7,19.8,8.3,4.4,1.9
46.6,d_20220101,25.9,15.7,4.9,1.9,0.4,0,27.4,17.9,7,3.8,1.2
38.9,d_20220201,34.9,22,7.9,3.7,1.5,0,26.3,18.6,9.8,6.3,2.8
39.6,d_20220301,34.5,22.4,7.3,3.2,0.8,0,26.1,17.8,8.4,4.8,2
36,d_20220401,38.7,27.3,13.2,7.8,3.4,0,25.3,17.5,8.2,4.6,2.3
34.4,d_20220501,40.9,30.4,16.4,10.9,5.1,0,24.8,16.7,7.8,4.7,2.5
37.3,d_20220601,41.7,30.3,15.7,9.2,4.1,0,21.1,13.2,5.3,2.9,1.4
35.2,d_20220701,50.4,38.1,20.5,13,6.5,0,14.5,8,2.5,1.3,0.5
40,d_20220801,36.3,24.3,10.8,6,2.6,0,23.8,13.7,4.6,2,0.6
40,d_20220901,42.3,31.1,15.8,9.6,4.6,0,17.7,9.4,3,1.1,0.2
41.3,d_20221001,39.7,28.1,13.4,7.6,3.1,0,19.1,10.7,3,1.1,0.2
48.6,d_20221101,31.9,20,8.2,4,1.5,0,19.5,10.3,3.1,1.2,0.2
49.2,d_20221201,24.3,15.9,6.9,3.7,1.6,0,26.5,14,3.9,1.4,0.4
46.1,d_20230101,21.8,12.1,3.5,1.5,0.5,0,32.1,20.8,7.9,3.8,1.1
41.8,d_20230201,28.1,16.8,5.1,2.1,0.5,0,30.2,20.5,8.8,4.5,1.3
39.4,d_20230301,22,13.3,5,2.6,0.9,0,38.8,27.3,12.3,7.5,3.3
36.2,d_20230401,24.6,15.9,7.3,4.7,2.2,0,39.2,27,10.7,5.6,1.8
47,d_20230501,23.2,13.4,4.1,1.7,0.5,0,29.8,17.4,6.4,3.4,1.1
