Year,Max Temp (°C),Total Fires
2012,21.97394366197183,1649
2013,22.97517605633803,1861
2014,23.263931623931622,1481
2015,23.611986863711003,1858
2016,22.93191489361702,1050
2017,23.729291338582676,1353
2018,23.459351988217968,2117
2019,21.79385964912281,825
2020,21.01468023255814,670
2021,24.424682651622,1647
2022,23.624147727272728,1801
