year,abnormaly_dry,severe_drought,extreme_drought
2000,37.908867521367526,12.916274928774929,5.4402849002849
2001,40.68359837278106,10.949404585798817,3.074837278106509
2002,58.66524310595065,25.379553701015965,10.55065312046444
2003,39.96428624260355,18.001527366863904,9.253435650887575
2004,30.070906065088757,13.637795857988165,6.166168639053255
2005,33.38010355029586,6.927329881656805,1.652448224852071
2006,39.750373520710056,9.767326183431953,3.663128698224852
2007,48.25709689349112,15.512448224852072,5.962618343195266
2008,38.76463715529753,8.505468069666183,2.6710595065312046
2009,26.799167899408282,3.4968602071005916,0.5467085798816568
2010,28.745177514792903,3.7195007396449706,0.8989386094674556
2011,33.312795857988164,11.709408284023668,6.428102810650888
2012,56.25629068047338,20.91430103550296,9.327329881656803
2013,42.91023947750363,16.531650943396226,6.456796081277213
2014,33.414681952662725,10.67875,4.314826183431953
2015,39.482965976331364,9.251786242603549,4.4206841715976335
2016,39.09232988165681,7.2615902366863905,2.5402403846153843
2017,31.730610207100593,3.778187869822485,0.8422152366863905
2018,34.00065828402367,8.622063609467457,3.268746301775148
2019,20.244499274310595,2.227380261248186,0.29744920174165457
2020,34.52612795857988,9.45650147928994,4.000362426035503
2021,45.300258875739644,18.88688979289941,11.223886834319526
2022,55.39817307692308,20.366364644970414,8.082074704142013
2023,41.42449704142012,8.720458579881656,3.345325443786982
