Year,Average Summer Closing,Total Fires
2012,25.924140578125,1649
2013,42.640872730158726,1861
2014,50.50952361904762,1481
2015,62.516874921875,1858
2016,41.498125140625,1050
2017,62.5595314375,1353
2018,87.72078115625,2117
2019,53.97015863492064,825
2020,56.65156221875,670
2021,89.422500140625,1647
2022,112.87671828125,1801
