year,StateAbbreviation,abnormaly_dry,severe_drought,extreme_drought
2000,AK,4.333333333333333,0.0,0.0
2000,AL,100.0,94.5562962962963,66.29370370370371
2000,AR,63.46037037037037,30.695555555555554,12.95111111111111
2000,AZ,52.49962962962963,1.82,0.0
2000,CA,7.491111111111111,0.0,0.0
2000,CO,64.16148148148147,1.585925925925926,0.025185185185185185
2000,CT,2.2037037037037037,0.0,0.0
2000,DC,14.542592592592591,0.0,0.0
2000,DE,4.29962962962963,0.0,0.0
2000,FL,92.27074074074073,54.63666666666667,27.6537037037037
2000,GA,96.67666666666666,74.63222222222223,39.14370370370371
2000,HI,58.21666666666666,28.455925925925925,6.067407407407408
2000,IA,58.446666666666665,8.786296296296296,0.8885185185185186
2000,ID,59.97185185185185,4.737037037037037,0.09481481481481481
2000,IL,3.8537037037037036,0.0,0.0
2000,IN,0.13814814814814816,0.0,0.0
2000,KS,54.98259259259259,13.867037037037038,0.778148148148148
2000,KY,42.907407407407405,0.4388888888888889,0.0
2000,LA,79.99592592592592,55.58148148148148,33.547777777777775
2000,MA,0.0,0.0,0.0
2000,MD,9.837037037037037,0.0,0.0
2000,ME,4.591111111111111,0.0,0.0
2000,MI,24.409259259259258,0.0,0.0
2000,MN,14.322962962962963,0.0,0.0
2000,MO,34.65518518518519,2.677037037037037,0.07222222222222223
2000,MS,95.89888888888889,70.23592592592593,47.39703703703704
2000,MT,74.88037037037037,25.973333333333333,2.419259259259259
2000,NC,47.7337037037037,18.8,6.563703703703704
2000,ND,3.0229629629629633,0.0,0.0
2000,NE,98.86555555555555,35.897777777777776,5.811111111111111
2000,NH,0.0,0.0,0.0
2000,NJ,3.7037037037037037,0.0,0.0
2000,NM,65.07000000000001,9.347037037037037,0.041111111111111105
2000,NV,41.37777777777778,0.0,0.0
2000,NY,0.1837037037037037,0.0,0.0
2000,OH,2.558148148148148,0.0,0.0
2000,OK,37.83259259259259,14.524444444444445,0.0
2000,OR,11.325555555555557,0.0,0.0
2000,PA,7.338518518518518,0.0,0.0
2000,PR,30.062222222222225,0.0,0.0
2000,RI,0.6022222222222223,0.0,0.0
2000,SC,81.33074074074074,44.12222222222222,16.554814814814815
2000,SD,30.085185185185182,0.09037037037037036,0.0
2000,TN,92.37925925925927,44.12444444444444,10.797407407407407
2000,TX,73.43962962962964,27.83185185185185,5.612222222222222
2000,UT,70.37333333333333,1.3192592592592591,0.0
2000,VA,30.376296296296296,4.982592592592592,0.18185185185185185
2000,VT,0.0,0.0,0.0
2000,WA,2.487037037037037,0.0,0.0
2000,WI,6.501851851851852,0.0,0.0
2000,WV,27.45777777777778,0.6544444444444445,0.0
2000,WY,88.10629629629629,1.2722222222222224,0.0
2001,AK,0.23192307692307693,0.0,0.0
2001,AL,29.685384615384617,3.9303846153846154,0.0
2001,AR,32.66961538461538,2.7359615384615386,0.0
2001,AZ,2.0115384615384615,0.0,0.0
2001,CA,45.49115384615384,14.69173076923077,6.960192307692308
2001,CO,18.323653846153846,0.0,0.0
2001,CT,38.57211538461539,2.717884615384615,0.0
2001,DC,26.923076923076923,1.9230769230769231,0.0
2001,DE,28.56230769230769,3.791346153846154,0.0
2001,FL,66.28365384615384,40.57480769230769,28.642884615384617
2001,GA,75.5325,19.14173076923077,0.22692307692307695
2001,HI,63.85788461538462,14.04673076923077,1.1771153846153846
2001,IA,18.682884615384616,0.4957692307692308,0.0
2001,ID,92.79019230769231,73.20903846153846,22.10307692307692
2001,IL,16.741346153846155,1.0401923076923079,0.0
2001,IN,16.829038461538463,1.651346153846154,0.0
2001,KS,22.105576923076924,0.7190384615384615,0.0
2001,KY,43.63288461538461,3.9959615384615383,0.0
2001,LA,14.491538461538463,0.3744230769230769,0.0
2001,MA,34.65134615384615,0.8286538461538462,0.0
2001,MD,33.23653846153846,2.0473076923076925,0.0
2001,ME,60.87230769230769,16.35153846153846,2.2846153846153845
2001,MI,15.090576923076924,0.3825,0.0
2001,MN,7.054038461538462,0.0,0.0
2001,MO,18.435384615384613,2.123653846153846,0.0
2001,MS,17.127692307692307,0.6534615384615384,0.0
2001,MT,90.85326923076923,56.67923076923077,18.543653846153845
2001,NC,70.58519230769231,32.4875,9.265384615384615
2001,ND,15.714230769230769,0.0,0.0
2001,NE,38.638653846153844,0.446923076923077,0.0
2001,NH,45.926923076923075,15.790576923076923,0.0
2001,NJ,36.568461538461534,2.6953846153846155,0.0
2001,NM,38.22634615384615,3.973846153846154,0.37307692307692303
2001,NV,67.22403846153847,29.226923076923075,19.076153846153847
2001,NY,38.73576923076923,1.9688461538461537,0.0
2001,OH,22.137500000000003,0.8721153846153845,0.0
2001,OK,34.38480769230769,2.700384615384615,0.0
2001,OR,92.435,57.97634615384615,22.345576923076923
2001,PA,53.16903846153846,1.2132692307692308,0.0
2001,PR,12.559807692307693,0.0,0.0
2001,RI,29.74307692307692,2.4717307692307693,0.0
2001,SC,90.8276923076923,36.49115384615384,5.830576923076923
2001,SD,16.560576923076923,0.0,0.0
2001,TN,61.755192307692305,10.554615384615385,0.6942307692307692
2001,TX,48.61730769230769,11.215000000000002,2.1309615384615386
2001,UT,45.59442307692307,5.420576923076923,1.6328846153846153
2001,VA,48.670192307692304,8.124038461538461,0.5700000000000001
2001,VT,46.2375,2.390769230769231,0.0
2001,WA,93.10576923076923,47.62692307692308,1.4969230769230768
2001,WI,7.4630769230769225,0.0,0.0
2001,WV,43.501730769230775,1.4911538461538463,0.04846153846153846
2001,WY,86.42538461538462,30.12519230769231,16.488846153846154
2002,AK,14.215283018867924,0.0,0.0
