Decade,Season,Max Temp (°C),Min Temp (°C),Average Temp (°C)
1970,Fall,9.807516519823789,0.7897577092511013,5.298637114537446
1970,Spring,10.808660351826793,-0.20457374830852504,5.302043301759134
1970,Summer,21.577122577122577,9.294731094731095,15.435926835926836
1970,Winter,-2.4920802820721453,-9.851830756712774,-6.171955519392459
1980,Fall,9.411411066436914,0.4514072372199885,4.9314091518284515
1980,Spring,11.275725696473797,-0.00011689070718878153,5.6378044028833045
1980,Summer,21.602775063513775,9.380242329489935,15.491508696501855
1980,Winter,-2.3724117531058964,-9.668960757247092,-6.020686255176495
1990,Fall,10.093468118195956,1.3657231726283048,5.729595645412131
1990,Spring,12.196493386650262,0.9953552752999077,6.595924330975085
1990,Summer,22.00408032128514,9.990265060240963,15.997172690763051
1990,Winter,-1.5137556987894984,-8.338798930985694,-4.926277314887597
2000,Fall,10.396345657781598,1.939610203496704,6.167977930639151
2000,Spring,11.463837375178317,0.7422967189728958,6.103067047075606
2000,Summer,22.243221338048926,9.980312407898614,16.11176687297377
2000,Winter,-0.42347813453436006,-7.365451111433968,-3.894464622984164
2010,Fall,10.261965811965812,1.6490466798159105,5.955506245890861
2010,Spring,12.073283678756477,1.0754533678756477,6.574368523316062
2010,Summer,22.611843832020995,10.036154855643044,16.32399934383202
2010,Winter,-0.8447184812591271,-7.225150089242252,-4.0349342852506895
2020,Fall,10.945489078822412,2.1712250712250714,6.558357075023742
2020,Spring,11.642244460328806,0.7880986418870621,6.215171551107934
2020,Summer,22.98962548428756,10.707232027550582,16.848428755919073
2020,Winter,-0.7647660243806528,-7.335941801022414,-4.050353912701533
