"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-122.60","58.84","FORT NELSON A","1192940","2006-01-01","2006","01","01","","-13.0","","-19.3","","-16.2","","34.2","","0.0","","0.0","","0.0","T","0.0","T","7","","","","<31",""
"-122.60","58.84","FORT NELSON A","1192940","2006-01-02","2006","01","02","","-15.3","","-19.5","","-17.4","","35.4","","0.0","","0.0","","0.0","T","0.0","T","7","","","","<31",""
"-122.60","58.84","FORT NELSON A","1192940","2006-01-03","2006","01","03","","-12.4","","-16.6","","-14.5","","32.5","","0.0","","0.0","","0.0","T","0.0","T","7","","","","<31",""
"-122.60","58.84","FORT NELSON A","1192940","2006-01-04","2006","01","04","","-12.4","","-19.1","","-15.8","","33.8","","0.0","","0.0","","0.0","","0.0","","7","","","","<31",""
"-122.60","58.84","FORT NELSON A","1192940","2006-01-05","2006","01","05","","-13.2","","-16.3","","-14.8","","32.8","","0.0","","0.0","","13.4","","5.0","","7","","","","<31",""
"-122.60","58.84","FORT NELSON A","1192940","2006-01-06","2006","01","06","","-12.7","","-20.5","","-16.6","","34.6","","0.0","","0.0","","0.0","","0.0","","19","","","","<31",""
"-122.60","58.84","FORT NELSON A","1192940","2006-01-07","2006","01","07","","-17.6","","-25.2","","-21.4","","39.4","","0.0","","0.0","","0.0","","0.0","","19","","","","<31",""
"-122.60","58.84","FORT NELSON A","1192940","2006-01-08","2006","01","08","","-19.1","","-25.4","","-22.3","","40.3","","0.0","","0.0","","0.0","","0.0","","19","","","","<31",""
"-122.60","58.84","FORT NELSON A","1192940","2006-01-09","2006","01","09","","-12.8","","-22.0","","-17.4","","35.4","","0.0","","0.0","","0.0","","0.0","","18","","","","<31",""
"-122.60","58.84","FORT NELSON A","1192940","2006-01-10","2006","01","10","","-19.1","","-24.7","","-21.9","","39.9","","0.0","","0.0","","0.0","","0.0","","18","","","","<31",""
"-122.60","58.84","FORT NELSON A","1192940","2006-01-11","2006","01","11","","-17.4","","-26.3","","-21.9","","39.9","","0.0","","0.0","","0.0","","0.0","","18","","","","<31",""
"-122.60","58.84","FORT NELSON A","1192940","2006-01-12","2006","01","12","","-15.4","","-21.3","","-18.4","","36.4","","0.0","","0.0","","0.0","T","0.0","T","16","","","M","","M"
"-122.60","58.84","FORT NELSON A","1192940","2006-01-13","2006","01","13","","-16.6","","-19.4","","-18.0","","36.0","","0.0","","0.0","","2.0","","0.6","","15","","","M","","M"
"-122.60","58.84","FORT NELSON A","1192940","2006-01-14","2006","01","14","","-14.8","","-22.4","","-18.6","","36.6","","0.0","","0.0","","0.0","T","0.0","T","17","","","M","","M"
"-122.60","58.84","FORT NELSON A","1192940","2006-01-15","2006","01","15","","-16.6","","-24.8","","-20.7","","38.7","","0.0","","0.0","","0.2","","0.0","T","17","","","M","","M"
"-122.60","58.84","FORT NELSON A","1192940","2006-01-16","2006","01","16","","-20.4","","-29.9","","-25.2","","43.2","","0.0","","0.0","","0.0","T","0.0","T","17","","","M","","M"
"-122.60","58.84","FORT NELSON A","1192940","2006-01-17","2006","01","17","","-19.2","","-24.4","","-21.8","","39.8","","0.0","","0.0","","9.6","","6.8","","18","","","M","","M"
"-122.60","58.84","FORT NELSON A","1192940","2006-01-18","2006","01","18","","-18.8","","-24.7","","-21.8","","39.8","","0.0","","0.0","","0.8","","0.4","","24","","","M","","M"
"-122.60","58.84","FORT NELSON A","1192940","2006-01-19","2006","01","19","","-16.1","","-22.6","","-19.4","","37.4","","0.0","","0.0","","0.4","","0.0","T","24","","","","<31",""
"-122.60","58.84","FORT NELSON A","1192940","2006-01-20","2006","01","20","","-15.0","","-23.6","","-19.3","","37.3","","0.0","","0.0","","0.0","T","0.0","T","24","","","","<31",""
"-122.60","58.84","FORT NELSON A","1192940","2006-01-21","2006","01","21","","-16.7","","-25.0","","-20.9","","38.9","","0.0","","0.0","","0.0","","0.0","","24","","","","<31",""
"-122.60","58.84","FORT NELSON A","1192940","2006-01-22","2006","01","22","","-1.2","","-20.6","","-10.9","","28.9","","0.0","","0.0","T","0.0","","0.0","T","24","","","","<31",""
"-122.60","58.84","FORT NELSON A","1192940","2006-01-23","2006","01","23","","-0.1","","-9.1","","-4.6","","22.6","","0.0","","0.0","","0.0","T","0.0","T","23","","31","","56",""
"-122.60","58.84","FORT NELSON A","1192940","2006-01-24","2006","01","24","","-8.4","","-18.5","","-13.5","","31.5","","0.0","","0.0","T","2.8","","1.2","","22","","","","<31",""
"-122.60","58.84","FORT NELSON A","1192940","2006-01-25","2006","01","25","","-18.5","","-23.1","","-20.8","","38.8","","0.0","","0.0","T","0.6","","0.0","T","22","","","","<31",""
"-122.60","58.84","FORT NELSON A","1192940","2006-01-26","2006","01","26","","-19.3","","-29.5","","-24.4","","42.4","","0.0","","0.0","","0.0","T","0.0","T","22","","","","<31",""
"-122.60","58.84","FORT NELSON A","1192940","2006-01-27","2006","01","27","","-20.9","","-30.3","","-25.6","","43.6","","0.0","","0.0","","0.0","T","0.0","T","22","","","","<31",""
"-122.60","58.84","FORT NELSON A","1192940","2006-01-28","2006","01","28","","-23.4","","-26.2","","-24.8","","42.8","","0.0","","0.0","","2.2","","1.6","","21","","","","<31",""
"-122.60","58.84","FORT NELSON A","1192940","2006-01-29","2006","01","29","","-18.6","","-28.3","","-23.5","","41.5","","0.0","","0.0","","0.8","","0.4","","22","","","","<31",""
"-122.60","58.84","FORT NELSON A","1192940","2006-01-30","2006","01","30","","-24.1","","-30.3","","-27.2","","45.2","","0.0","","0.0","","2.4","","1.0","","23","","","","<31",""
"-122.60","58.84","FORT NELSON A","1192940","2006-01-31","2006","01","31","","-20.0","","-25.1","","-22.6","","40.6","","0.0","","0.0","","0.0","T","0.0","T","24","","","","<31",""
"-122.60","58.84","FORT NELSON A","1192940","2006-02-01","2006","02","01","","-17.7","","-22.8","","-20.3","","38.3","","0.0","","0.0","","0.0","T","0.0","T","24","","","","<31",""
"-122.60","58.84","FORT NELSON A","1192940","2006-02-02","2006","02","02","","-14.2","","-26.4","","-20.3","","38.3","","0.0","","0.0","","0.0","","0.0","","24","","","","<31",""
"-122.60","58.84","FORT NELSON A","1192940","2006-02-03","2006","02","03","","-9.3","","-20.9","","-15.1","","33.1","","0.0","","0.0","","0.0","","0.0","","24","","","","<31",""
"-122.60","58.84","FORT NELSON A","1192940","2006-02-04","2006","02","04","","-11.3","","-16.7","","-14.0","","32.0","","0.0","","0.0","","10.0","","4.4","","24","","32","","32",""
