"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-01-01","1978","01","01","","-14.6","","-24.1","","-19.4","","37.4","","0.0","","0.0","","0.0","T","0.0","T","28","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-01-02","1978","01","02","","-15.4","","-28.7","","-22.1","","40.1","","0.0","","0.0","","0.0","","0.0","","28","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-01-03","1978","01","03","","-19.2","","-26.2","","-22.7","","40.7","","0.0","","0.0","","0.0","T","0.0","T","28","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-01-04","1978","01","04","","-20.0","","-21.6","","-20.8","","38.8","","0.0","","0.0","","5.2","","3.7","","28","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-01-05","1978","01","05","","-18.6","","-21.2","","-19.9","","37.9","","0.0","","0.0","","2.2","","0.8","","31","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-01-06","1978","01","06","","-17.5","","-21.5","","-19.5","","37.5","","0.0","","0.0","","1.0","","0.4","","32","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-01-07","1978","01","07","","-18.9","","-24.1","","-21.5","","39.5","","0.0","","0.0","","3.0","","1.5","","32","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-01-08","1978","01","08","","-13.3","","-20.3","","-16.8","","34.8","","0.0","","0.0","","0.8","","0.6","","35","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-01-09","1978","01","09","","-7.9","","-14.1","","-11.0","","29.0","","0.0","","0.0","","0.2","","0.0","T","35","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-01-10","1978","01","10","","-8.2","","-14.6","","-11.4","","29.4","","0.0","","0.0","T","0.0","","0.0","T","35","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-01-11","1978","01","11","","-6.2","","-9.9","","-8.1","","26.1","","0.0","","0.2","","0.0","T","0.2","","35","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-01-12","1978","01","12","","-4.4","","-8.7","","-6.6","","24.6","","0.0","","0.0","T","0.0","","0.0","T","35","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-01-13","1978","01","13","","-3.2","","-7.4","","-5.3","","23.3","","0.0","","0.0","T","0.0","","0.0","T","35","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-01-14","1978","01","14","","-6.4","","-8.9","","-7.7","","25.7","","0.0","","0.0","","2.4","","2.0","","31","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-01-15","1978","01","15","","-5.6","","-8.7","","-7.2","","25.2","","0.0","","0.0","","0.0","","0.0","","33","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-01-16","1978","01","16","","-4.6","","-9.1","","-6.9","","24.9","","0.0","","0.0","","0.0","T","0.0","T","33","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-01-17","1978","01","17","","-5.4","","-9.8","","-7.6","","25.6","","0.0","","0.0","","0.0","T","0.0","T","33","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-01-18","1978","01","18","","-4.4","","-10.6","","-7.5","","25.5","","0.0","","0.0","","0.0","","0.0","","32","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-01-19","1978","01","19","","-5.0","","-9.4","","-7.2","","25.2","","0.0","","0.0","","0.0","","0.0","","32","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-01-20","1978","01","20","","0.4","","-9.9","","-4.8","","22.8","","0.0","","0.0","","0.0","","0.0","","32","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-01-21","1978","01","21","","1.9","","-0.3","","0.8","","17.2","","0.0","","0.2","","0.2","","0.4","","31","","15","","46","E"
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-01-22","1978","01","22","","1.2","","-9.8","","-4.3","","22.3","","0.0","","0.0","","3.0","","3.2","","33","","33","","43","E"
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-01-23","1978","01","23","","-4.1","","-15.6","","-9.9","","27.9","","0.0","","0.0","","12.8","","12.0","","33","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-01-24","1978","01","24","","0.8","","-8.1","","-3.7","","21.7","","0.0","","0.0","","1.8","","2.0","","50","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-01-25","1978","01","25","","0.4","","-7.5","","-3.6","","21.6","","0.0","","0.0","T","0.0","T","0.0","T","50","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-01-26","1978","01","26","","-2.7","","-6.0","","-4.4","","22.4","","0.0","","0.0","T","0.0","","0.0","T","50","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-01-27","1978","01","27","","-5.0","","-14.0","","-9.5","","27.5","","0.0","","0.0","","0.0","T","0.0","T","49","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-01-28","1978","01","28","","-10.9","","-15.3","","-13.1","","31.1","","0.0","","0.0","","0.0","T","0.0","T","49","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-01-29","1978","01","29","","-12.4","","-14.6","","-13.5","","31.5","","0.0","","0.0","","2.0","","0.4","","50","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-01-30","1978","01","30","","-13.6","","-19.7","","-16.7","","34.7","","0.0","","0.0","","0.0","T","0.0","T","50","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-01-31","1978","01","31","","-15.0","","-24.5","","-19.8","","37.8","","0.0","","0.0","","0.0","T","0.0","T","50","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-02-01","1978","02","01","","-17.5","","-28.3","","-22.9","","40.9","","0.0","","0.0","","0.9","","0.6","","48","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-02-02","1978","02","02","","-11.9","","-25.1","","-18.5","","36.5","","0.0","","0.0","","1.9","","0.2","","49","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-02-03","1978","02","03","","-6.9","","-16.9","","-11.9","","29.9","","0.0","","0.0","","3.2","","2.4","","50","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-02-04","1978","02","04","","2.6","","-16.9","","-7.2","","25.2","","0.0","","0.0","","1.2","","1.2","","51","","14","","41","E"
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-02-05","1978","02","05","","7.5","","1.5","","4.5","","13.5","","0.0","","0.0","","0.0","","0.0","","50","","15","","52","E"
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-02-06","1978","02","06","","7.7","","1.8","","4.8","","13.2","","0.0","","0.0","","0.0","","0.0","","41","","15","","65","E"
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-02-07","1978","02","07","","6.3","","3.1","","4.7","","13.3","","0.0","","0.0","","0.0","","0.0","","38","","13","","63","E"
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-02-08","1978","02","08","","6.0","","1.5","","3.8","","14.2","","0.0","","0.0","","0.0","","0.0","","34","","14","","80","E"
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-02-09","1978","02","09","","3.4","","-1.6","","0.9","","17.1","","0.0","","0.0","T","0.6","","0.6","","29","","13","","69","E"
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-02-10","1978","02","10","","2.3","","-11.3","","-4.5","","22.5","","0.0","","0.0","","0.0","","0.0","","28","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-02-11","1978","02","11","","-4.4","","-6.0","","-5.2","","23.2","","0.0","","0.0","","3.6","","2.2","","30","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-02-12","1978","02","12","","-5.0","","-9.0","","-7.0","","25.0","","0.0","","0.0","","0.0","T","0.0","T","30","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-02-13","1978","02","13","","-2.8","","-13.9","","-8.4","","26.4","","0.0","","0.0","","0.6","","0.6","","30","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-02-14","1978","02","14","","3.1","","-11.1","","-4.0","","22.0","","0.0","","0.0","","0.0","T","0.0","T","31","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-02-15","1978","02","15","","0.6","","-6.6","","-3.0","","21.0","","0.0","","0.0","","2.0","","0.8","","30","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-02-16","1978","02","16","","1.7","","-7.6","","-3.0","","21.0","","0.0","","0.0","","0.0","T","0.0","T","32","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-02-17","1978","02","17","","1.6","","-11.3","","-4.9","","22.9","","0.0","","0.0","","0.0","","0.0","","32","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-02-18","1978","02","18","","1.5","","-7.1","","-2.8","","20.8","","0.0","","0.0","T","3.2","","2.2","","30","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-02-19","1978","02","19","","5.2","","-1.7","","1.8","","16.2","","0.0","","0.0","","0.0","","0.0","","30","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-02-20","1978","02","20","","7.1","","-1.2","","3.0","","15.0","","0.0","","0.0","","0.0","","0.0","","30","","14","","43","E"
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-02-21","1978","02","21","","10.7","","-2.0","","4.4","","13.6","","0.0","","0.0","","0.0","","0.0","","28","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-02-22","1978","02","22","","6.9","","1.4","","4.2","","13.8","","0.0","","0.2","","0.0","","0.2","","25","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-02-23","1978","02","23","","2.5","","-6.2","","-1.9","","19.9","","0.0","","0.0","","0.0","","0.0","","22","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-02-24","1978","02","24","","2.4","","-11.5","","-4.6","","22.6","","0.0","","0.0","","0.0","","0.0","","20","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-02-25","1978","02","25","","0.8","","-9.8","","-4.5","","22.5","","0.0","","0.0","","0.0","","0.0","","19","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-02-26","1978","02","26","","2.6","","-15.2","","-6.3","","24.3","","0.0","","0.0","","0.0","","0.0","","19","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-02-27","1978","02","27","","-0.6","","-11.7","","-6.2","","24.2","","0.0","","0.0","","0.0","","0.0","","17","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-02-28","1978","02","28","","-0.4","","-12.1","","-6.3","","24.3","","0.0","","0.0","","0.0","","0.0","","17","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-03-01","1978","03","01","","-1.6","","-16.9","","-9.3","","27.3","","0.0","","0.0","","0.0","","0.0","","17","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-03-02","1978","03","02","","-5.9","","-16.8","","-11.4","","29.4","","0.0","","0.0","","0.0","","0.0","","17","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-03-03","1978","03","03","","1.5","","-19.8","","-9.2","","27.2","","0.0","","0.0","","0.0","","0.0","","17","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-03-04","1978","03","04","","4.5","","-14.2","","-4.9","","22.9","","0.0","","0.0","","0.0","","0.0","","17","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-03-05","1978","03","05","","3.3","","-9.1","","-2.9","","20.9","","0.0","","0.0","","0.0","","0.0","","16","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-03-06","1978","03","06","","4.8","","-8.5","","-1.9","","19.9","","0.0","","0.0","","0.0","T","0.0","T","16","","14","","52","E"
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-03-07","1978","03","07","","8.1","","2.5","","5.3","","12.7","","0.0","","0.0","","0.0","","0.0","","15","","15","","67","E"
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-03-08","1978","03","08","","8.8","","-1.0","","3.9","","14.1","","0.0","","0.0","","0.0","","0.0","","11","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-03-09","1978","03","09","","6.6","","-5.3","","0.7","","17.3","","0.0","","0.0","","0.0","","0.0","","9","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-03-10","1978","03","10","","3.4","","-3.8","","-0.2","","18.2","","0.0","","0.0","","0.2","","0.2","","8","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-03-11","1978","03","11","","2.8","","-3.6","","-0.4","","18.4","","0.0","","0.0","","0.0","","0.0","","8","","31","","31","E"
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-03-12","1978","03","12","","1.9","","-6.9","","-2.5","","20.5","","0.0","","0.0","","0.0","","0.0","","8","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-03-13","1978","03","13","","5.6","","-3.6","","1.0","","17.0","","0.0","","0.0","","2.0","","1.8","","8","","33","","48","E"
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-03-14","1978","03","14","","4.1","","-7.5","","-1.7","","19.7","","0.0","","0.0","","0.0","T","0.0","T","8","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-03-15","1978","03","15","","4.1","","-10.8","","-3.4","","21.4","","0.0","","0.0","","0.0","T","0.0","T","8","","16","","44","E"
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-03-16","1978","03","16","","8.5","","-0.8","","3.9","","14.1","","0.0","","0.0","","1.8","","1.4","","9","","15","","46","E"
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-03-17","1978","03","17","","4.1","","-0.9","","1.6","","16.4","","0.0","","0.0","T","3.2","","3.2","","4","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-03-18","1978","03","18","","6.1","","-5.2","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","3","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-03-19","1978","03","19","","7.4","","-0.7","","3.4","","14.6","","0.0","","0.0","","0.2","","1.0","","3","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-03-20","1978","03","20","","8.5","","1.0","","4.8","","13.2","","0.0","","3.0","","0.0","","3.0","","0","T","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-03-21","1978","03","21","","8.3","","-1.4","","3.5","","14.5","","0.0","","0.0","T","0.0","","0.0","T","0","T","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-03-22","1978","03","22","","9.5","","-5.0","","2.3","","15.7","","0.0","","0.0","","0.0","","0.0","","0","T","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-03-23","1978","03","23","","11.0","","-3.3","","3.9","","14.1","","0.0","","4.8","","0.0","","4.8","","0","","18","","37","E"
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-03-24","1978","03","24","","11.4","","1.5","","6.5","","11.5","","0.0","","0.0","","0.0","","0.0","","0","","15","","54","E"
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-03-25","1978","03","25","","12.2","","2.9","","7.6","","10.4","","0.0","","0.0","","0.0","","0.0","","0","","18","","61","E"
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-03-26","1978","03","26","","4.4","","-1.2","","1.6","","16.4","","0.0","","0.0","","1.0","","1.0","","0","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-03-27","1978","03","27","","9.1","","-1.2","","4.0","","14.0","","0.0","","0.0","T","1.7","","1.6","","1","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-03-28","1978","03","28","","8.7","","0.1","","4.4","","13.6","","0.0","","2.0","","0.0","","2.0","","0","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-03-29","1978","03","29","","9.5","","0.1","","4.8","","13.2","","0.0","","0.0","T","0.0","","0.0","T","0","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-03-30","1978","03","30","","6.7","","-3.0","","1.9","","16.1","","0.0","","0.0","","1.6","","1.6","","0","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-03-31","1978","03","31","","8.5","","-6.1","","1.2","","16.8","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-04-01","1978","04","01","","9.1","","-1.3","","3.9","","14.1","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-04-02","1978","04","02","","9.4","","-0.5","","4.5","","13.5","","0.0","","0.0","","0.0","T","0.0","T","0","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-04-03","1978","04","03","","10.1","","-1.1","","4.5","","13.5","","0.0","","0.0","","0.0","","0.0","","0","","14","","52","E"
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-04-04","1978","04","04","","10.5","","-0.6","","5.0","","13.0","","0.0","","1.4","","0.0","","1.4","","0","","16","","54","E"
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-04-05","1978","04","05","","8.7","","-1.0","","3.9","","14.1","","0.0","","0.0","T","0.0","T","0.0","T","0","","12","","41","E"
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-04-06","1978","04","06","","10.5","","-4.0","","3.3","","14.7","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1978-04-07","1978","04","07","","13.7","","-3.4","","5.2","","12.8","","0.0","","0.0","","0.0","","0.0","","0","","25","","33","E"
