"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-122.05","52.18","WILLIAMS LAKE A","1098940","1990-01-01","1990","01","01","","0.1","","-8.4","","-4.2","","22.2","","0.0","","0.0","","0.0","T","0.0","T","35","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1990-01-02","1990","01","02","","-4.8","","-13.1","","-9.0","","27.0","","0.0","","0.0","","4.6","","3.0","","35","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1990-01-03","1990","01","03","","-1.1","","-5.0","","-3.1","","21.1","","0.0","","0.0","","1.8","","1.2","","40","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1990-01-04","1990","01","04","","-1.4","","-4.9","","-3.2","","21.2","","0.0","","0.0","","2.4","","2.0","","40","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1990-01-05","1990","01","05","","4.0","","-2.7","","0.7","","17.3","","0.0","","0.0","T","3.2","","1.4","","39","","14","","59","E"
"-122.05","52.18","WILLIAMS LAKE A","1098940","1990-01-06","1990","01","06","","2.2","","-2.8","","-0.3","","18.3","","0.0","","0.0","","0.0","","0.0","","26","","13","","48","E"
"-122.05","52.18","WILLIAMS LAKE A","1098940","1990-01-07","1990","01","07","","6.1","","-2.4","","1.9","","16.1","","0.0","","0.0","","0.0","","0.0","","25","","13","","44","E"
"-122.05","52.18","WILLIAMS LAKE A","1098940","1990-01-08","1990","01","08","","3.5","","-6.4","","-1.5","","19.5","","0.0","","0.0","","0.0","","0.0","","24","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1990-01-09","1990","01","09","","3.1","","-2.6","","0.3","","17.7","","0.0","","0.0","","0.2","","0.2","","23","","13","","44","E"
"-122.05","52.18","WILLIAMS LAKE A","1098940","1990-01-10","1990","01","10","","-0.5","","-8.4","","-4.5","","22.5","","0.0","","0.0","","0.0","","0.0","","22","","29","","48","E"
"-122.05","52.18","WILLIAMS LAKE A","1098940","1990-01-11","1990","01","11","","-5.0","","-17.4","","-11.2","","29.2","","0.0","","0.0","","3.4","","2.2","","22","","","","<31",""
