Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,20.870001,21.350000,20.764999,21.350000,19.140104,67000
2012-01-04,21.434999,21.459999,21.240000,21.309999,19.104244,77600
2012-01-05,21.170000,21.830000,21.170000,21.830000,19.570421,181000
2012-01-06,21.830000,22.440001,21.715000,22.290001,19.982800,144600
2012-01-09,22.334999,22.504999,21.700001,21.934999,19.664553,88800
2012-01-10,21.860001,22.075001,21.370001,21.375000,19.162514,95600
2012-01-11,21.485001,22.190001,21.355000,21.875000,19.610760,47800
2012-01-12,21.895000,22.110001,21.840000,22.049999,19.767645,50600
2012-01-13,22.174999,22.500000,21.955000,22.500000,20.171064,28600
2012-01-16,22.495001,22.825001,22.240000,22.495001,20.166588,100000
2012-01-17,22.500000,22.969999,22.500000,22.500000,20.171064,161000
2012-01-18,22.590000,22.940001,22.555000,22.875000,20.507254,78800
2012-01-19,23.000000,23.975000,23.000000,23.705000,21.251347,132400
2012-01-20,23.790001,24.700001,23.764999,24.700001,22.143354,221800
2012-01-23,24.580000,24.995001,24.504999,24.875000,22.300238,86000
2012-01-24,24.635000,24.670000,24.459999,24.500000,21.964050,147400
2012-01-25,24.500000,24.580000,24.245001,24.510000,21.973011,168400
2012-01-26,24.730000,24.750000,24.295000,24.535000,21.995426,100800
2012-01-27,24.330000,24.440001,23.850000,23.945000,21.466494,59600
2012-01-30,23.910000,24.135000,23.910000,23.985001,21.502352,35200
2012-01-31,24.139999,24.160000,23.900000,24.155001,21.654757,84400
2012-02-01,24.020000,24.264999,23.600000,24.080000,21.587526,123800
2012-02-02,23.895000,24.334999,23.895000,24.195000,21.690619,94400
2012-02-03,24.080000,24.750000,24.080000,24.730000,22.170244,200000
2012-02-06,24.500000,25.160000,24.500000,24.820000,22.250925,123000
2012-02-07,24.415001,24.709999,24.174999,24.250000,21.739927,142200
2012-02-08,24.360001,24.504999,23.605000,23.805000,21.340988,58600
2012-02-09,23.705000,23.750000,23.455000,23.715000,21.260303,168800
2012-02-10,23.575001,23.770000,22.670000,22.750000,20.395193,208400
2012-02-13,23.750000,23.750000,23.090000,23.719999,21.264780,67000
2012-02-14,23.500000,23.504999,23.155001,23.155001,20.758270,91800
2012-02-15,23.004999,23.025000,22.799999,22.889999,20.520699,137800
2012-02-16,23.250000,23.360001,22.950001,23.174999,20.776196,155000
2012-02-17,22.875000,23.830000,22.875000,23.674999,21.224449,150800
2012-02-21,23.504999,23.745001,23.250000,23.745001,21.287203,129800
2012-02-22,23.620001,23.995001,23.575001,23.719999,21.264780,146600
2012-02-23,23.650000,23.830000,23.469999,23.745001,21.287203,512000
2012-02-24,23.645000,23.754999,23.625000,23.625000,21.179615,93200
2012-02-27,23.650000,24.545000,23.645000,24.495001,21.959566,106600
2012-02-28,24.549999,24.625000,24.110001,24.135000,21.636829,66600
2012-02-29,24.235001,24.235001,23.530001,23.959999,21.479937,137000
2012-03-01,23.975000,24.400000,23.865000,24.129999,21.632351,65200
2012-03-02,24.254999,24.340000,24.049999,24.115000,21.618896,44800
2012-03-05,24.055000,24.240000,23.650000,23.900000,21.426151,69400
2012-03-06,23.895000,23.895000,22.680000,23.000000,20.619316,123000
2012-03-07,23.150000,23.725000,23.000000,23.674999,21.224449,76400
2012-03-08,23.504999,24.059999,23.500000,23.879999,21.408226,73600
2012-03-09,23.815001,24.295000,23.815001,24.295000,21.780270,71000
2012-03-12,24.295000,24.934999,24.295000,24.650000,22.098524,170200
2012-03-13,24.834999,24.950001,24.565001,24.834999,22.264376,105200
2012-03-14,24.834999,24.875000,24.400000,24.805000,22.237482,101800
2012-03-15,24.969999,25.750000,24.865000,25.084999,22.488499,74200
2012-03-16,25.004999,25.504999,25.000000,25.504999,22.865030,351000
2012-03-19,25.254999,25.549999,25.030001,25.475000,22.838129,94800
2012-03-20,25.469999,25.469999,25.059999,25.120001,22.519878,67600
2012-03-21,25.190001,25.190001,24.934999,24.959999,22.376436,39800
2012-03-22,24.950001,25.075001,24.905001,24.955000,22.434875,70400
2012-03-23,25.245001,25.245001,24.215000,24.350000,21.890968,96600
2012-03-26,24.424999,24.424999,24.000000,24.155001,21.715664,104000
2012-03-27,24.370001,24.575001,23.684999,23.805000,21.401003,49200
2012-03-28,23.750000,23.750000,22.924999,23.285000,20.933523,117400
2012-03-29,23.075001,23.075001,22.695000,22.825001,20.519979,247200
2012-03-30,22.754999,23.219999,22.559999,23.055000,20.726744,214800
2012-04-02,22.969999,23.270000,22.969999,23.245001,20.897558,144000
2012-04-03,23.200001,23.200001,22.655001,22.955000,20.636847,97400
2012-04-04,22.719999,22.730000,22.275000,22.500000,20.227789,111800
2012-04-05,22.400000,22.565001,22.264999,22.520000,20.245773,40200
2012-04-09,22.570000,22.570000,22.160000,22.325001,20.070471,96400
2012-04-10,22.254999,22.325001,20.985001,21.250000,19.104025,139800
2012-04-11,21.295000,21.504999,21.075001,21.340000,19.184937,118800
2012-04-12,21.375000,21.400000,21.115000,21.400000,19.238880,128400
2012-04-13,21.445000,22.100000,21.254999,21.754999,19.558025,135800
2012-04-16,21.945000,21.945000,20.885000,21.000000,18.879271,42400
2012-04-17,21.059999,21.405001,21.059999,21.405001,19.243378,64000
2012-04-18,21.299999,21.594999,21.245001,21.565001,19.387220,89000
2012-04-19,21.309999,21.375000,20.900000,20.980000,18.861294,91800
2012-04-20,21.059999,21.200001,20.700001,20.900000,18.789375,133600
2012-04-23,20.785000,20.865000,20.129999,20.459999,18.393805,120200
2012-04-24,20.500000,20.500000,20.250000,20.360001,18.303905,105200
2012-04-25,20.715000,20.750000,20.080000,20.625000,18.542145,188000
2012-04-26,20.555000,21.084999,20.555000,21.000000,18.879271,52600
2012-04-27,21.000000,21.809999,20.905001,21.700001,19.508583,106200
2012-04-30,21.790001,21.790001,21.010000,21.715000,19.522064,147000
2012-05-01,21.485001,21.600000,21.090000,21.400000,19.238880,147400
2012-05-02,21.400000,21.400000,21.184999,21.305000,19.153473,166400
2012-05-03,21.395000,22.105000,21.395000,21.605000,19.423182,79400
2012-05-04,21.405001,21.584999,21.235001,21.459999,19.292816,70400
2012-05-07,21.280001,21.684999,21.250000,21.635000,19.450140,51200
2012-05-08,21.629999,21.660000,21.110001,21.635000,19.450140,112600
2012-05-09,21.635000,21.850000,21.295000,21.440001,19.274837,110200
2012-05-10,21.815001,22.000000,21.445000,21.740000,19.544540,42600
2012-05-11,21.610001,21.610001,21.120001,21.254999,19.108522,78600
2012-05-14,21.155001,21.165001,20.930000,21.075001,18.946709,285600
2012-05-15,21.004999,21.809999,21.004999,21.325001,19.171452,176000
2012-05-16,21.525000,23.025000,21.525000,22.350000,20.092947,258200
2012-05-17,22.320000,22.545000,21.930000,22.285000,20.034506,159200
2012-05-18,22.264999,22.495001,22.055000,22.360001,20.101931,46400
2012-05-22,22.325001,22.995001,22.235001,22.764999,20.466038,106600
2012-05-23,22.764999,23.850000,22.690001,23.450001,21.081858,80200
2012-05-24,23.450001,23.450001,22.580000,22.924999,20.609873,107800
2012-05-25,22.855000,23.080000,22.799999,23.080000,20.749222,23200
2012-05-28,22.990000,23.285000,22.990000,23.209999,20.866093,20000
2012-05-29,23.410000,23.590000,23.305000,23.555000,21.176252,49600
2012-05-30,23.490000,23.545000,22.865000,22.975000,20.654829,35600
2012-05-31,22.975000,23.480000,22.975000,23.445000,21.077360,66000
2012-06-01,23.440001,23.440001,22.459999,22.760000,20.461536,134200
2012-06-04,22.815001,22.820000,22.275000,22.299999,20.047991,32000
2012-06-05,22.459999,22.875000,22.235001,22.825001,20.519979,82800
2012-06-06,22.934999,23.485001,22.934999,23.485001,21.113321,45400
2012-06-07,23.500000,23.650000,23.365000,23.424999,21.059381,96400
2012-06-08,23.350000,23.594999,23.200001,23.500000,21.126810,99600
2012-06-11,23.775000,23.775000,23.430000,23.520000,21.144789,40400
2012-06-12,23.650000,23.650000,23.389999,23.600000,21.216713,180800
2012-06-13,23.615000,23.645000,23.535000,23.575001,21.194237,147000
2012-06-14,23.639999,24.250000,23.434999,24.230000,21.783087,138400
2012-06-15,24.165001,24.754999,24.155001,24.754999,22.255070,316400
2012-06-18,24.475000,25.299999,24.475000,25.170000,22.628162,63200
2012-06-19,25.170000,25.500000,25.075001,25.160000,22.619167,213000
2012-06-20,25.160000,25.200001,24.610001,24.629999,22.142693,85400
2012-06-21,24.910000,25.125000,24.455000,24.745001,22.309483,115400
2012-06-22,24.684999,24.924999,24.684999,24.860001,22.413174,88200
2012-06-25,24.754999,24.945000,24.025000,24.264999,21.876726,70800
2012-06-26,24.240000,24.389999,23.780001,24.209999,21.827145,61400
2012-06-27,24.004999,24.915001,24.004999,24.915001,22.462755,108800
2012-06-28,24.915001,24.975000,24.665001,24.889999,22.440210,40400
2012-06-29,25.000000,25.915001,24.850000,25.680000,23.152464,229800
2012-07-03,25.775000,25.785000,25.219999,25.219999,22.737728,44400
2012-07-04,25.225000,25.799999,25.225000,25.665001,23.138929,28200
2012-07-05,25.690001,26.209999,25.690001,26.100000,23.531122,168200
2012-07-06,25.915001,25.924999,25.594999,25.594999,23.075823,58200
