"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-122.77","53.88","PRINCE GEORGE STP","1096468","1986-01-01","1986","01","01","","0.0","","-5.0","","-2.5","","20.5","","0.0","","0.0","","1.0","","1.0","","14","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","1986-01-02","1986","01","02","","-7.0","","-16.0","","-11.5","","29.5","","0.0","","0.0","","0.0","","0.0","","14","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","1986-01-03","1986","01","03","","-11.5","","-17.0","","-14.3","","32.3","","0.0","","0.0","","0.0","","0.0","","14","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","1986-01-04","1986","01","04","","-13.0","","-21.0","","-17.0","","35.0","","0.0","","0.0","","0.0","","0.0","","14","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","1986-01-05","1986","01","05","","-4.0","","-19.5","","-11.8","","29.8","","0.0","","0.0","","9.4","","9.4","","14","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","1986-01-06","1986","01","06","","4.5","","-11.0","","-3.3","","21.3","","0.0","","0.0","","0.0","","0.0","","22","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","1986-01-07","1986","01","07","","5.0","","-8.0","","-1.5","","19.5","","0.0","","3.2","","1.6","","4.8","","22","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","1986-01-08","1986","01","08","","5.5","","0.0","","2.8","","15.2","","0.0","","0.2","","0.0","","0.2","","18","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","1986-01-09","1986","01","09","","8.5","","-2.0","","3.3","","14.7","","0.0","","0.0","","0.0","","0.0","","18","","","","",""
"-122.77","53.88","PRINCE GEORGE STP","1096468","1986-01-10","1986","01","10","","10.5","","6.0","","8.3","","9.7","","0.0","","1.2","","0.0","","1.2","","8","","","","",""
