"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2021-01-01","2021","01","01","†","9.0","","5.5","","7.3","","10.7","","0.0","","17.4","","0.0","","17.4","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2021-01-02","2021","01","02","†","8.5","","8.0","","8.3","","9.7","","0.0","","32.0","","0.0","","32.0","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2021-01-03","2021","01","03","†","8.5","","2.5","","5.5","","12.5","","0.0","","17.2","","0.0","","17.2","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2021-01-04","2021","01","04","†","7.0","","4.0","","5.5","","12.5","","0.0","","14.8","","0.0","","14.8","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2021-01-05","2021","01","05","†","7.0","","4.0","","5.5","","12.5","","0.0","","43.0","","0.0","","43.0","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2021-01-06","2021","01","06","†","9.0","","4.0","","6.5","","11.5","","0.0","","0.4","","0.0","","0.4","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2021-01-07","2021","01","07","†","8.0","","2.0","","5.0","","13.0","","0.0","","1.7","","0.0","","1.7","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2021-01-08","2021","01","08","†","6.0","","3.0","","4.5","","13.5","","0.0","","10.5","","0.0","","10.5","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2021-01-09","2021","01","09","†","6.0","","2.0","","4.0","","14.0","","0.0","","7.0","","0.0","","7.0","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2021-01-10","2021","01","10","†","8.5","","5.0","","6.8","","11.2","","0.0","","5.4","","0.0","","5.4","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2021-01-11","2021","01","11","†","9.0","","0.0","","4.5","","13.5","","0.0","","37.2","","0.0","","37.2","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2021-01-12","2021","01","12","†","11.5","","6.5","","9.0","","9.0","","0.0","","27.8","","0.0","","27.8","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2021-01-13","2021","01","13","†","9.0","","5.5","","7.3","","10.7","","0.0","","0.4","","0.0","","0.4","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2021-01-14","2021","01","14","†","8.5","","1.0","","4.8","","13.2","","0.0","","10.2","","0.0","","10.2","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2021-01-15","2021","01","15","†","9.0","","6.0","","7.5","","10.5","","0.0","","0.6","","0.0","","0.6","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2021-01-16","2021","01","16","†","7.5","","4.5","","6.0","","12.0","","0.0","","7.5","","0.0","","7.5","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2021-01-17","2021","01","17","†","7.0","","5.0","","6.0","","12.0","","0.0","","1.4","","0.0","","1.4","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2021-01-18","2021","01","18","†","9.0","","0.5","","4.8","","13.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2021-01-19","2021","01","19","†","7.5","","1.0","","4.3","","13.7","","0.0","","0.2","","0.0","","0.2","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2021-01-20","2021","01","20","†","7.5","","4.0","","5.8","","12.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2021-01-21","2021","01","21","†","10.0","","3.0","","6.5","","11.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2021-01-22","2021","01","22","†","7.0","","-2.0","","2.5","","15.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2021-01-23","2021","01","23","†","5.0","","-3.0","","1.0","","17.0","","0.0","","0.5","","0.0","","0.5","","0","","","","",""
"-122.88","49.28","PORT MOODY GLENAYRE","1106CL2","2021-01-24","2021","01","24","†","3.0","","1.0","","2.0","","16.0","","0.0","","14.8","","0.0","","14.8","","0","","","","",""
