"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-122.05","52.18","WILLIAMS LAKE A","1098941","2015-01-01","2015","01","01","","-1.9","","-12.9","","-7.4","","25.4","","0.0","","3.4","","0.0","T","3.4","","13","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098941","2015-01-02","2015","01","02","","-0.4","","-7.4","","-3.9","","21.9","","0.0","","0.0","","1.2","","0.6","","12","","13","","33",""
"-122.05","52.18","WILLIAMS LAKE A","1098941","2015-01-03","2015","01","03","","-7.5","","-19.0","","-13.3","","31.3","","0.0","","0.0","","3.8","","2.0","","13","","29","","44",""
"-122.05","52.18","WILLIAMS LAKE A","1098941","2015-01-04","2015","01","04","","-9.6","","-19.6","","-14.6","","32.6","","0.0","","0.0","","14.6","","14.6","","16","","11","","32",""
"-122.05","52.18","WILLIAMS LAKE A","1098941","2015-01-05","2015","01","05","","-13.9","","-16.5","","-15.2","","33.2","","0.0","","0.0","","16.8","","13.2","","28","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098941","2015-01-06","2015","01","06","","-9.1","","-14.1","","-11.6","","29.6","","0.0","","2.4","","5.6","","13.0","","46","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098941","2015-01-07","2015","01","07","","-4.3","","-9.8","","-7.1","","25.1","","0.0","","0.0","","0.0","","0.0","","40","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098941","2015-01-08","2015","01","08","","-6.7","","-8.8","","-7.8","","25.8","","0.0","","0.0","","0.2","","0.2","","40","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098941","2015-01-09","2015","01","09","","-5.8","","-9.1","","-7.5","","25.5","","0.0","","0.0","","0.0","T","0.0","T","40","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098941","2015-01-10","2015","01","10","","-4.3","","-7.3","","-5.8","","23.8","","0.0","","0.0","","0.0","T","0.0","T","39","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098941","2015-01-11","2015","01","11","","-4.0","","-6.0","","-5.0","","23.0","","0.0","","0.0","","0.0","","0.0","","39","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098941","2015-01-12","2015","01","12","","-4.0","","-5.3","","-4.7","","22.7","","0.0","","0.0","","0.0","","0.0","","39","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098941","2015-01-13","2015","01","13","","-4.1","","-6.3","","-5.2","","23.2","","0.0","","0.0","","0.0","","0.0","","39","","12","","39",""
"-122.05","52.18","WILLIAMS LAKE A","1098941","2015-01-14","2015","01","14","","-2.8","","-6.0","","-4.4","","22.4","","0.0","","0.0","","0.0","","0.0","","37","","12","","35",""
"-122.05","52.18","WILLIAMS LAKE A","1098941","2015-01-15","2015","01","15","","-1.5","","-4.9","","-3.2","","21.2","","0.0","","0.0","","0.0","T","0.0","T","38","","13","","52",""
"-122.05","52.18","WILLIAMS LAKE A","1098941","2015-01-16","2015","01","16","","0.8","","-6.6","","-2.9","","20.9","","0.0","","0.0","","2.2","","1.8","","35","","11","","50",""
"-122.05","52.18","WILLIAMS LAKE A","1098941","2015-01-17","2015","01","17","","1.2","","-4.1","","-1.5","","19.5","","0.0","","0.0","","0.0","","0.0","","36","","12","","41",""
"-122.05","52.18","WILLIAMS LAKE A","1098941","2015-01-18","2015","01","18","","","M","-4.1","E","","M","","M","","M","","M","","","","M","33","","","M","","M"
"-122.05","52.18","WILLIAMS LAKE A","1098941","2015-01-19","2015","01","19","","1.1","","-3.4","","-1.2","","19.2","","0.0","","0.0","","0.0","","0.0","","40","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098941","2015-01-20","2015","01","20","","-0.8","","-9.3","","-5.1","","23.1","","0.0","","0.0","","0.0","","0.0","","39","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098941","2015-01-21","2015","01","21","","1.1","","-6.5","","-2.7","","20.7","","0.0","","0.0","","0.0","","0.0","","39","","12","","50",""
"-122.05","52.18","WILLIAMS LAKE A","1098941","2015-01-22","2015","01","22","","3.7","","-3.7","","0.0","","18.0","","0.0","","0.0","","0.0","","0.0","","37","","12","","43",""
"-122.05","52.18","WILLIAMS LAKE A","1098941","2015-01-23","2015","01","23","","4.1","","-2.3","","0.9","","17.1","","0.0","","2.6","","0.0","","2.6","","36","","11","","41",""
"-122.05","52.18","WILLIAMS LAKE A","1098941","2015-01-24","2015","01","24","","4.2","","-3.4","","0.4","","17.6","","0.0","","0.4","","0.0","","0.4","","33","","11","","35",""
"-122.05","52.18","WILLIAMS LAKE A","1098941","2015-01-25","2015","01","25","","7.3","","1.5","","4.4","","13.6","","0.0","","0.0","T","0.0","","0.0","T","32","","12","","35",""
