"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-127.18","54.83","SMITHERS","1077499","2018-01-01","2018","01","01","","-10.3","","-14.7","","-12.5","","30.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-127.18","54.83","SMITHERS","1077499","2018-01-02","2018","01","02","","-7.3","","-14.0","","-10.7","","28.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-127.18","54.83","SMITHERS","1077499","2018-01-03","2018","01","03","","-4.0","","-12.5","","-8.3","","26.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-127.18","54.83","SMITHERS","1077499","2018-01-04","2018","01","04","","-0.6","","-6.3","","-3.5","","21.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-127.18","54.83","SMITHERS","1077499","2018-01-05","2018","01","05","","1.2","","-2.3","","-0.6","","18.6","","0.0","","","M","","M","2.4","","","","","","<31",""
"-127.18","54.83","SMITHERS","1077499","2018-01-06","2018","01","06","","","","","","","","","","","","","","","","","","","","","","",""
"-127.18","54.83","SMITHERS","1077499","2018-01-07","2018","01","07","","-0.5","","-4.1","","-2.3","","20.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-127.18","54.83","SMITHERS","1077499","2018-01-08","2018","01","08","","2.2","","-6.2","","-2.0","","20.0","","0.0","","","M","","M","6.3","","","","","","<31",""
"-127.18","54.83","SMITHERS","1077499","2018-01-09","2018","01","09","","-3.3","","-9.8","","-6.6","","24.6","","0.0","","","M","","M","0.0","","","","19","","43",""
"-127.18","54.83","SMITHERS","1077499","2018-01-10","2018","01","10","","-9.8","","-15.6","","-12.7","","30.7","","0.0","","","M","","M","0.0","","","","19","","35",""
"-127.18","54.83","SMITHERS","1077499","2018-01-11","2018","01","11","","-15.3","","-20.1","","-17.7","","35.7","","0.0","","","M","","M","0.0","","","","17","","32",""
