"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-122.60","58.84","FORT NELSON A","1192940","1973-01-01","1973","01","01","","-10.0","","-23.3","","-16.7","","34.7","","0.0","","0.0","","6.6","","6.4","","51","","36","","51",""
"-122.60","58.84","FORT NELSON A","1192940","1973-01-02","1973","01","02","","-21.1","","-32.2","","-26.7","","44.7","","0.0","","0.0","","1.8","","1.3","","56","","34","","61",""
"-122.60","58.84","FORT NELSON A","1192940","1973-01-03","1973","01","03","","-24.4","","-33.9","","-29.2","","47.2","","0.0","","0.0","","0.0","","0.0","","56","","","","<31",""
"-122.60","58.84","FORT NELSON A","1192940","1973-01-04","1973","01","04","","-8.9","","-24.4","","-16.7","","34.7","","0.0","","0.0","","2.3","","1.8","","56","","34","","45",""
"-122.60","58.84","FORT NELSON A","1192940","1973-01-05","1973","01","05","","-9.4","","-26.1","","-17.8","","35.8","","0.0","","0.0","","0.0","T","0.0","T","56","","","","<31",""
"-122.60","58.84","FORT NELSON A","1192940","1973-01-06","1973","01","06","","-20.6","","-26.7","","-23.7","","41.7","","0.0","","0.0","","0.0","","0.0","","51","","","","<31",""
"-122.60","58.84","FORT NELSON A","1192940","1973-01-07","1973","01","07","","-12.2","","-27.2","","-19.7","","37.7","","0.0","","0.0","","5.6","","1.5","","51","","","","<31",""
"-122.60","58.84","FORT NELSON A","1192940","1973-01-08","1973","01","08","","-15.0","","-23.9","","-19.5","","37.5","","0.0","","0.0","","0.0","","0.0","","51","","","","<31",""
"-122.60","58.84","FORT NELSON A","1192940","1973-01-09","1973","01","09","","-15.6","","-25.6","","-20.6","","38.6","","0.0","","0.0","","0.0","","0.0","","53","","","","<31",""
"-122.60","58.84","FORT NELSON A","1192940","1973-01-10","1973","01","10","","-17.8","","-25.6","","-21.7","","39.7","","0.0","","0.0","","0.0","","0.0","","48","","","","<31",""
"-122.60","58.84","FORT NELSON A","1192940","1973-01-11","1973","01","11","","-21.7","","-28.3","","-25.0","","43.0","","0.0","","0.0","","0.0","","0.0","","48","","","","<31",""
"-122.60","58.84","FORT NELSON A","1192940","1973-01-12","1973","01","12","","-16.1","","-23.3","","-19.7","","37.7","","0.0","","0.0","","1.3","","1.0","","48","","","","<31",""
"-122.60","58.84","FORT NELSON A","1192940","1973-01-13","1973","01","13","","-16.1","","-24.4","","-20.3","","38.3","","0.0","","0.0","","1.0","","0.3","","51","","","","<31",""
"-122.60","58.84","FORT NELSON A","1192940","1973-01-14","1973","01","14","","-24.4","","-27.2","","-25.8","","43.8","","0.0","","0.0","","3.0","","2.0","","51","","","","<31",""
"-122.60","58.84","FORT NELSON A","1192940","1973-01-15","1973","01","15","","-26.1","","-27.8","","-27.0","","45.0","","0.0","","0.0","","3.3","","2.5","","53","","","","<31",""
"-122.60","58.84","FORT NELSON A","1192940","1973-01-16","1973","01","16","","-26.1","","-27.8","","-27.0","","45.0","","0.0","","0.0","","1.5","","1.0","","56","","","","<31",""
"-122.60","58.84","FORT NELSON A","1192940","1973-01-17","1973","01","17","","-25.0","","-28.3","","-26.7","","44.7","","0.0","","0.0","","0.0","T","0.0","T","56","","","","<31",""
"-122.60","58.84","FORT NELSON A","1192940","1973-01-18","1973","01","18","","-25.0","","-27.8","","-26.4","","44.4","","0.0","","0.0","","0.0","T","0.0","T","56","","","","<31",""
"-122.60","58.84","FORT NELSON A","1192940","1973-01-19","1973","01","19","","-19.4","","-26.1","","-22.8","","40.8","","0.0","","0.0","","0.5","","0.5","","53","","","","<31",""
"-122.60","58.84","FORT NELSON A","1192940","1973-01-20","1973","01","20","","-16.7","","-25.0","","-20.9","","38.9","","0.0","","0.0","","0.0","T","0.0","T","53","","","","<31",""
