"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-01-01","1999","01","01","","-5.2","","-13.9","","-9.6","","27.6","","0.0","","0.0","","0.0","","0.0","","26","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-01-02","1999","01","02","","-5.0","","-12.6","","-8.8","","26.8","","0.0","","0.0","","0.0","T","0.0","T","26","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-01-03","1999","01","03","","-1.9","","-10.1","","-6.0","","24.0","","0.0","","1.2","","1.6","","2.8","","26","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-01-04","1999","01","04","","0.5","","-2.1","","-0.8","","18.8","","0.0","","5.6","","1.6","","7.2","","25","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-01-05","1999","01","05","","1.9","","-0.4","","0.8","","17.2","","0.0","","10.2","","0.0","T","10.2","","25","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-01-06","1999","01","06","","6.0","","-12.0","","-3.0","","21.0","","0.0","","0.0","T","7.8","","7.8","","21","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-01-07","1999","01","07","","-6.3","","-10.4","","-8.4","","26.4","","0.0","","0.0","T","5.8","","4.8","","30","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-01-08","1999","01","08","","0.1","","-6.3","","-3.1","","21.1","","0.0","","0.0","","18.4","","16.5","","36","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-01-09","1999","01","09","","0.5","","-5.5","","-2.5","","20.5","","0.0","","0.0","","0.0","","0.0","","44","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-01-10","1999","01","10","","0.8","","-3.3","","-1.3","","19.3","","0.0","","2.2","","6.0","","10.0","","41","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-01-11","1999","01","11","","1.7","","-0.7","","0.5","","17.5","","0.0","","5.6","","1.0","","6.6","","35","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-01-12","1999","01","12","","2.3","","-4.4","","-1.1","","19.1","","0.0","","0.0","T","0.0","T","0.0","T","33","","28","","37",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-01-13","1999","01","13","","1.5","","-4.6","","-1.6","","19.6","","0.0","","0.0","","0.0","","0.0","","33","","13","","37",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-01-14","1999","01","14","","6.3","","-1.2","","2.6","","15.4","","0.0","","1.0","","0.0","T","1.0","","32","","31","","50",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-01-15","1999","01","15","","2.0","","-6.2","","-2.1","","20.1","","0.0","","0.0","","0.0","","0.0","","30","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-01-16","1999","01","16","","-3.3","","-8.2","","-5.8","","23.8","","0.0","","0.0","","2.8","","1.8","","30","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-01-17","1999","01","17","","-1.5","","-10.6","","-6.1","","24.1","","0.0","","0.0","","2.2","","1.6","","33","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-01-18","1999","01","18","","0.8","","-6.3","","-2.8","","20.8","","0.0","","0.0","","0.0","","0.0","","32","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-01-19","1999","01","19","","3.6","","-5.5","","-1.0","","19.0","","0.0","","0.0","","0.0","","0.0","","30","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-01-20","1999","01","20","","-3.2","","-10.3","","-6.8","","24.8","","0.0","","0.0","","2.2","","1.6","","29","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-01-21","1999","01","21","","-9.7","","-12.4","","-11.1","","29.1","","0.0","","0.0","","2.0","","1.6","","32","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-01-22","1999","01","22","","-10.6","","-15.7","","-13.2","","31.2","","0.0","","0.0","","1.4","","0.9","","34","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-01-23","1999","01","23","","-14.8","","-25.9","","-20.4","","38.4","","0.0","","0.0","","0.8","","0.6","","35","","32","E","46","E"
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-01-24","1999","01","24","","-10.2","","-26.2","","-18.2","","36.2","","0.0","","0.0","","0.0","T","0.0","T","37","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-01-25","1999","01","25","","-4.2","","-10.5","","-7.4","","25.4","","0.0","","0.0","","0.3","","0.3","","37","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-01-26","1999","01","26","","-3.4","","-11.3","","-7.4","","25.4","","0.0","","0.0","","2.2","","1.4","","39","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-01-27","1999","01","27","","0.3","","-9.8","","-4.8","","22.8","","0.0","","0.0","","2.0","","2.0","","39","","13","E","65","E"
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-01-28","1999","01","28","","-1.4","","-11.9","","-6.7","","24.7","","0.0","","0.0","","3.0","","2.4","","39","","15","E","35","E"
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-01-29","1999","01","29","","4.8","","-3.7","","0.6","","17.4","","0.0","","0.0","","9.4","","9.4","","41","","16","E","48","E"
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-01-30","1999","01","30","","-1.9","","-13.8","","-7.9","","25.9","","0.0","","0.0","","0.0","","0.0","","48","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-01-31","1999","01","31","","-0.2","","-7.7","","-4.0","","22.0","","0.0","","0.0","","0.0","T","0.0","T","42","","19","E","50","E"
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-02-01","1999","02","01","","-0.3","","-7.7","","-4.0","","22.0","","0.0","","0.0","","0.4","","0.4","","40","","13","E","46","E"
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-02-02","1999","02","02","","4.4","","-1.1","","1.7","","16.3","","0.0","","0.0","","0.0","T","0.0","T","39","","29","E","70","E"
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-02-03","1999","02","03","","0.2","","-8.8","","-4.3","","22.3","","0.0","","0.0","","4.6","","4.2","","38","","13","E","50","E"
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-02-04","1999","02","04","","1.1","","-6.8","","-2.9","","20.9","","0.0","","0.0","","0.8","","0.6","","44","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-02-05","1999","02","05","","1.5","","-4.5","","-1.5","","19.5","","0.0","","0.0","","0.0","","0.0","","44","","13","E","93","E"
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-02-06","1999","02","06","","3.1","","-2.5","","0.3","","17.7","","0.0","","0.0","","6.0","","6.0","","40","","14","E","56","E"
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-02-07","1999","02","07","","0.8","","-7.7","","-3.5","","21.5","","0.0","","0.0","","1.0","","1.0","","45","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-02-08","1999","02","08","","1.2","","-5.7","","-2.3","","20.3","","0.0","","0.0","","0.0","","0.0","","43","","13","E","37","E"
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-02-09","1999","02","09","","-1.4","","-17.2","","-9.3","","27.3","","0.0","","0.0","","0.0","","0.0","","41","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-02-10","1999","02","10","","-1.4","","-18.3","","-9.9","","27.9","","0.0","","0.0","","0.0","","0.0","","41","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-02-11","1999","02","11","","1.5","","-10.8","","-4.7","","22.7","","0.0","","0.0","","0.0","","0.0","","41","","13","","83",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-02-12","1999","02","12","","4.0","","-1.1","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","34","","13","E","70","E"
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-02-13","1999","02","13","","6.9","","-1.7","","2.6","","15.4","","0.0","","0.0","","0.0","","0.0","","32","","14","E","61","E"
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-02-14","1999","02","14","","2.6","","-10.2","","-3.8","","21.8","","0.0","","0.0","","0.0","T","0.0","T","30","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-02-15","1999","02","15","","2.0","","-11.5","","-4.8","","22.8","","0.0","","0.0","","0.0","","0.0","","30","","12","E","56","E"
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-02-16","1999","02","16","","5.5","","-0.8","","2.4","","15.6","","0.0","","0.0","","0.0","T","0.0","T","29","","14","E","57","E"
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-02-17","1999","02","17","","5.0","","-3.9","","0.6","","17.4","","0.0","","0.0","","0.0","","0.0","","27","","14","E","41","E"
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-02-18","1999","02","18","","0.8","","-9.4","","-4.3","","22.3","","0.0","","0.0","","0.6","","0.4","","25","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-02-19","1999","02","19","","3.4","","-4.3","","-0.5","","18.5","","0.0","","0.0","","0.5","","0.5","","28","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-02-20","1999","02","20","","3.8","","-8.6","","-2.4","","20.4","","0.0","","0.0","","0.0","","0.0","","28","","13","E","44","E"
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-02-21","1999","02","21","","4.7","","-0.7","","2.0","","16.0","","0.0","","0.0","","0.0","","0.0","","28","","15","E","41","E"
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-02-22","1999","02","22","","5.5","","-1.2","","2.2","","15.8","","0.0","","0.0","","0.0","","0.0","","25","","13","E","65","E"
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-02-23","1999","02","23","","2.5","","-6.8","","-2.2","","20.2","","0.0","","0.0","","0.8","","0.6","","25","","13","E","43","E"
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-02-24","1999","02","24","","9.7","","-2.4","","3.7","","14.3","","0.0","","0.0","","2.6","","2.2","","28","","13","E","65","E"
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-02-25","1999","02","25","","6.1","","-0.9","","2.6","","15.4","","0.0","","0.0","","0.0","","0.0","","30","","12","E","37","E"
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-02-26","1999","02","26","","2.7","","-4.2","","-0.8","","18.8","","0.0","","0.0","","0.0","","0.0","","28","","","","<31",""
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-02-27","1999","02","27","","1.8","","-3.4","","-0.8","","18.8","","0.0","","0.0","","1.8","","1.4","","26","","13","E","46","E"
"-122.05","52.18","WILLIAMS LAKE A","1098940","1999-02-28","1999","02","28","","7.0","","-2.7","","2.2","","15.8","","0.0","","0.0","","0.0","","0.0","","27","","","","<31",""
