"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-122.05","52.18","WILLIAMS LAKE A","1098941","2022-01-01","2022","01","01","","-8.5","","-21.2","","-14.9","","32.9","","0.0","","0.0","","0.0","T","0.0","T","50","","11","","65",""
"-122.05","52.18","WILLIAMS LAKE A","1098941","2022-01-02","2022","01","02","","-3.3","","-10.9","","-7.1","","25.1","","0.0","","0.0","","0.0","","0.0","","50","","12","","84",""
"-122.05","52.18","WILLIAMS LAKE A","1098941","2022-01-03","2022","01","03","","-3.8","","-22.1","","-13.0","","31.0","","0.0","","0.0","","1.0","","0.4","","45","","12","","70",""
"-122.05","52.18","WILLIAMS LAKE A","1098941","2022-01-04","2022","01","04","","-22.1","","-27.1","","-24.6","","42.6","","0.0","","0.2","","1.6","","2.0","","50","","","M","","M"
"-122.05","52.18","WILLIAMS LAKE A","1098941","2022-01-05","2022","01","05","","-25.6","","-28.4","","-27.0","","45.0","","0.0","","0.0","","0.0","T","0.0","T","46","","","M","","M"
"-122.05","52.18","WILLIAMS LAKE A","1098941","2022-01-06","2022","01","06","","-23.9","","-27.3","","-25.6","","43.6","","0.0","","0.0","","25.6","","15.7","","48","E","","M","","M"
"-122.05","52.18","WILLIAMS LAKE A","1098941","2022-01-07","2022","01","07","","-20.0","","-24.6","","-22.3","","40.3","","0.0","","0.0","","6.4","","4.0","","65","","","M","","M"
"-122.05","52.18","WILLIAMS LAKE A","1098941","2022-01-08","2022","01","08","","-7.9","","-24.2","","-16.1","","34.1","","0.0","","0.0","","6.8","","8.6","","66","","","M","","M"
"-122.05","52.18","WILLIAMS LAKE A","1098941","2022-01-09","2022","01","09","","-0.1","","-8.7","","-4.4","","22.4","","0.0","","0.0","","0.0","","0.0","","","","12","","42",""
"-122.05","52.18","WILLIAMS LAKE A","1098941","2022-01-10","2022","01","10","","","M","","M","","M","","M","","M","0.0","","0.0","","0.0","","61","","13","","60",""
"-122.05","52.18","WILLIAMS LAKE A","1098941","2022-01-11","2022","01","11","","3.2","","0.0","","1.6","","16.4","","0.0","","4.3","","0.0","T","4.3","","38","E","13","","54",""
"-122.05","52.18","WILLIAMS LAKE A","1098941","2022-01-12","2022","01","12","","2.1","","-1.7","","0.2","","17.8","","0.0","","6.8","","0.4","","7.2","","59","","","M","","M"
"-122.05","52.18","WILLIAMS LAKE A","1098941","2022-01-13","2022","01","13","","2.5","","-0.3","","1.1","","16.9","","0.0","","0.0","T","0.0","","0.0","T","35","","","M","","M"
"-122.05","52.18","WILLIAMS LAKE A","1098941","2022-01-14","2022","01","14","","2.6","","-1.3","","0.7","","17.3","","0.0","","0.0","","0.0","","0.0","","30","","12","","46",""
"-122.05","52.18","WILLIAMS LAKE A","1098941","2022-01-15","2022","01","15","","3.1","","-5.4","","-1.2","","19.2","","0.0","","0.0","","0.0","","0.0","","39","","","M","","M"
"-122.05","52.18","WILLIAMS LAKE A","1098941","2022-01-16","2022","01","16","","2.6","","-1.5","","0.6","","17.4","","0.0","","0.3","","3.2","","3.5","","36","","","M","","M"
"-122.05","52.18","WILLIAMS LAKE A","1098941","2022-01-17","2022","01","17","","6.4","","-1.0","","2.7","","15.3","","0.0","","0.9","","0.0","","0.9","","35","","32","","43",""
"-122.05","52.18","WILLIAMS LAKE A","1098941","2022-01-18","2022","01","18","","-1.0","","-10.2","","-5.6","","23.6","","0.0","","0.0","","0.0","T","0.0","T","60","E","","M","","M"
"-122.05","52.18","WILLIAMS LAKE A","1098941","2022-01-19","2022","01","19","","-1.2","","-9.1","","-5.2","","23.2","","0.0","","0.0","","5.0","","3.1","","41","E","11","","37",""
"-122.05","52.18","WILLIAMS LAKE A","1098941","2022-01-20","2022","01","20","","3.7","","-2.7","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","","","11","","42",""
"-122.05","52.18","WILLIAMS LAKE A","1098941","2022-01-21","2022","01","21","","","M","","M","","M","","M","","M","0.0","","0.0","","0.0","","","","","M","","M"
"-122.05","52.18","WILLIAMS LAKE A","1098941","2022-01-22","2022","01","22","","-1.6","","-8.7","","-5.2","","23.2","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-122.05","52.18","WILLIAMS LAKE A","1098941","2022-01-23","2022","01","23","","1.8","","-6.2","","-2.2","","20.2","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-122.05","52.18","WILLIAMS LAKE A","1098941","2022-01-24","2022","01","24","","3.0","","-6.4","","-1.7","","19.7","","0.0","","0.0","","0.0","","0.0","","40","","","M","","M"
"-122.05","52.18","WILLIAMS LAKE A","1098941","2022-01-25","2022","01","25","","-1.6","","-9.4","","-5.5","","23.5","","0.0","","0.0","","0.0","","0.0","","40","","","M","","M"
"-122.05","52.18","WILLIAMS LAKE A","1098941","2022-01-26","2022","01","26","","-1.3","","-13.6","","-7.5","","25.5","","0.0","","0.0","","0.0","","0.0","","40","","","M","","M"
"-122.05","52.18","WILLIAMS LAKE A","1098941","2022-01-27","2022","01","27","","-1.2","","-12.8","","-7.0","","25.0","","0.0","","0.0","","0.0","","0.0","","40","","12","","36",""
"-122.05","52.18","WILLIAMS LAKE A","1098941","2022-01-28","2022","01","28","","-1.8","","-5.4","","-3.6","","21.6","","0.0","","0.0","","0.0","","0.0","","40","","13","","49",""
"-122.05","52.18","WILLIAMS LAKE A","1098941","2022-01-29","2022","01","29","","1.2","","-6.4","","-2.6","","20.6","","0.0","","0.0","","0.0","","0.0","","","","","M","","M"
"-122.05","52.18","WILLIAMS LAKE A","1098941","2022-01-30","2022","01","30","","1.1","","-2.1","","-0.5","","18.5","","0.0","","0.1","L","5.8","","3.9","","34","E","30","","46",""
"-122.05","52.18","WILLIAMS LAKE A","1098941","2022-01-31","2022","01","31","","-2.0","","-8.6","","-5.3","","23.3","","0.0","","0.0","","0.4","","0.8","","46","","29","","41",""
"-122.05","52.18","WILLIAMS LAKE A","1098941","2022-02-01","2022","02","01","","-4.6","","-19.1","","-11.9","","29.9","","0.0","","0.0","","0.2","","0.4","","46","","31","","39",""
"-122.05","52.18","WILLIAMS LAKE A","1098941","2022-02-02","2022","02","02","","-10.4","","-22.2","","-16.3","","34.3","","0.0","","0.0","","26.4","","22.4","","47","E","10","","41",""
"-122.05","52.18","WILLIAMS LAKE A","1098941","2022-02-03","2022","02","03","","-3.5","","-10.4","","-7.0","","25.0","","0.0","","0.0","","4.4","","1.8","","67","","","M","","M"
"-122.05","52.18","WILLIAMS LAKE A","1098941","2022-02-04","2022","02","04","","3.6","","-3.5","","0.1","","17.9","","0.0","","0.0","","0.0","","0.0","","","","13","","42",""
"-122.05","52.18","WILLIAMS LAKE A","1098941","2022-02-05","2022","02","05","","6.0","","-0.3","","2.9","","15.1","","0.0","","0.0","","0.0","","0.0","","","","26","","37",""
"-122.05","52.18","WILLIAMS LAKE A","1098941","2022-02-06","2022","02","06","","6.2","","-1.4","","2.4","","15.6","","0.0","","0.0","","0.0","","0.0","","","","13","","40",""
"-122.05","52.18","WILLIAMS LAKE A","1098941","2022-02-07","2022","02","07","","8.1","","-0.7","","3.7","","14.3","","0.0","","0.0","","0.0","","0.0","","34","","24","","64",""
"-122.05","52.18","WILLIAMS LAKE A","1098941","2022-02-08","2022","02","08","","1.7","","-2.9","","-0.6","","18.6","","0.0","","1.3","","0.0","T","1.3","","45","","","M","","M"
"-122.05","52.18","WILLIAMS LAKE A","1098941","2022-02-09","2022","02","09","","4.1","","0.7","","2.4","","15.6","","0.0","","1.5","","0.0","","1.5","","43","","","M","","M"
"-122.05","52.18","WILLIAMS LAKE A","1098941","2022-02-10","2022","02","10","","7.7","","0.0","","3.9","","14.1","","0.0","","0.0","T","0.0","","0.0","T","42","","30","","48",""
"-122.05","52.18","WILLIAMS LAKE A","1098941","2022-02-11","2022","02","11","","3.5","","-9.9","","-3.2","","21.2","","0.0","","0.0","","0.0","","0.0","","44","","","M","","M"
